"Sex","Race/Ethnicity","Age Group","First Year","Last Year","Cause of Injury","Age in Years","Year","Injuries","Population","records","cv"
"F","B","All","2001","2017","Assault Other Specified","14","2015","0","338,411",".","0"
"F","H","All","2001","2017","Assault Other Specified","14","2015","0","451,106",".","0"
"F","O","All","2001","2017","Assault Other Specified","14","2015","0","136,188",".","0"
"F","N","All","2001","2017","Assault Other Specified","14","2015","85",".","1","1"
"F","A","All","2001","2017","Assault Other Specified","14","2016","0","2,007,313",".","0"
"F","W","All","2001","2017","Assault Other Specified","14","2016","0","1,091,916",".","0"
"F","B","All","2001","2017","Assault Other Specified","14","2016","0","329,733",".","0"
"F","H","All","2001","2017","Assault Other Specified","14","2016","0","451,087",".","0"
"F","O","All","2001","2017","Assault Other Specified","14","2016","0","134,577",".","0"
"F","A","All","2001","2017","Assault Other Specified","14","2017","134","2,022,552","3","0.908"
"F","W","All","2001","2017","Assault Other Specified","14","2017","121","1,093,172","1","1"
"F","B","All","2001","2017","Assault Other Specified","14","2017","6","326,709","1","1"
"F","H","All","2001","2017","Assault Other Specified","14","2017","6","460,944","1","1"
"F","O","All","2001","2017","Assault Other Specified","14","2017","0","141,727",".","0"
"F","A","All","2001","2017","Assault Other Specified","15","2001","37","1,987,434","2","0.752"
"F","W","All","2001","2017","Assault Other Specified","15","2001","12","1,277,737","1","1"
"F","B","All","2001","2017","Assault Other Specified","15","2001","25","316,479","1","1"
"F","H","All","2001","2017","Assault Other Specified","15","2001","0","290,391",".","0"
"F","O","All","2001","2017","Assault Other Specified","15","2001","0","102,827",".","0"
"F","A","All","2001","2017","Assault Other Specified","15","2002","84","1,996,259","1","1"
"F","W","All","2001","2017","Assault Other Specified","15","2002","0","1,267,017",".","0"
"F","B","All","2001","2017","Assault Other Specified","15","2002","0","322,979",".","0"
"F","H","All","2001","2017","Assault Other Specified","15","2002","0","302,723",".","0"
"F","O","All","2001","2017","Assault Other Specified","15","2002","0","103,540",".","0"
"F","N","All","2001","2017","Assault Other Specified","15","2002","84",".","1","1"
"F","A","All","2001","2017","Assault Other Specified","15","2003","358","2,032,351","6","0.489"
"F","W","All","2001","2017","Assault Other Specified","15","2003","247","1,272,190","4","0.66"
"F","B","All","2001","2017","Assault Other Specified","15","2003","0","334,400",".","0"
"F","H","All","2001","2017","Assault Other Specified","15","2003","86","317,687","1","1"
"F","O","All","2001","2017","Assault Other Specified","15","2003","25","108,074","1","1"
"F","A","All","2001","2017","Assault Other Specified","15","2004","254","2,076,760","7","0.588"
"F","W","All","2001","2017","Assault Other Specified","15","2004","245","1,285,200","6","0.61"
"F","B","All","2001","2017","Assault Other Specified","15","2004","10","348,991","1","1"
"F","H","All","2001","2017","Assault Other Specified","15","2004","0","330,704",".","0"
"F","O","All","2001","2017","Assault Other Specified","15","2004","0","111,865",".","0"
"F","A","All","2001","2017","Assault Other Specified","15","2005","623","2,168,521","8","0.403"
"F","W","All","2001","2017","Assault Other Specified","15","2005","373","1,319,013","5","0.513"
"F","B","All","2001","2017","Assault Other Specified","15","2005","0","372,567",".","0"
"F","H","All","2001","2017","Assault Other Specified","15","2005","9","361,586","1","1"
"F","O","All","2001","2017","Assault Other Specified","15","2005","115","115,355","1","1"
